"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Maharashtra","Akola","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-07",2009,4,0.163961948,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-13",2009,4,1.810026743,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-14",2009,4,0.012855871,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-21",2009,4,0.231110213,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-22",2009,4,3.757216851,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-01",2009,8,11.08480359,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-02",2009,8,21.68681092,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-03",2009,8,17.50611015,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-04",2009,8,18.00361246,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-05",2009,8,8.683165031,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-06",2009,8,21.87296379,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-07",2009,8,2.580096641,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-08",2009,8,2.476163289,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-09",2009,8,0.018093339,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-10",2009,8,26.01016899,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-11",2009,8,4.752924128,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-12",2009,8,10.87421477,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-13",2009,8,8.395126705,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-14",2009,8,4.885095932,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-15",2009,8,0.230618889,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-16",2009,8,1.107227909,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-17",2009,8,0.298417122,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-18",2009,8,16.38748426,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-19",2009,8,19.7324329,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-20",2009,8,37.64399693,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-21",2009,8,10.05567586,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-22",2009,8,1.810379986,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-23",2009,8,2.750387005,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-24",2009,8,0.358016837,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-25",2009,8,10.30696144,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-26",2009,8,5.477350825,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-27",2009,8,0.049811205,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-29",2009,8,0.03224116,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-08-31",2009,8,0.03224116,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-08",2009,12,1.016256808,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-09",2009,12,13.85174197,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-10",2009,12,0.136726633,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-11",2009,12,72.28636621,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-12",2009,12,0.496913002,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-13",2009,12,5.026135778,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-14",2009,12,0.002457119,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-15",2009,12,0.141299044,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-16",2009,12,5.418843403,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-17",2009,12,14.44134654,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-01",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-02",2009,7,0.188573896,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-03",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-04",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-05",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-06",2009,7,0.709960362,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-07",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-08",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-09",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-10",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-11",2009,7,0.006942603,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-12",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-13",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-14",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-15",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-16",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-17",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-18",2009,7,0.008456413,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-19",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-20",2009,7,0.035052511,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-21",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-22",2009,7,1.127215944,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-23",2009,7,1.735157912,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-24",2009,7,0.336907636,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-25",2009,7,26.50190648,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-26",2009,7,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-27",2009,7,34.14163355,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-28",2009,7,47.06831673,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-29",2009,7,0.643126353,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-30",2009,7,3.080859961,"IMD GRID MODEL"
"Maharashtra","Akola","2009-07-31",2009,7,6.129471049,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-01",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-02",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-03",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-04",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-05",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-06",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-07",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-08",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-09",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-10",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-11",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-12",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-13",2009,6,27.63149546,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-14",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-15",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-16",2009,6,2.282033753,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-17",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-18",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-19",2009,6,0.811161828,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-20",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-21",2009,6,3.270374101,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-22",2009,6,0.114759755,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-23",2009,6,0.006877779,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-24",2009,6,2.21660497,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-25",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-26",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-27",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-28",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-29",2009,6,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-06-30",2009,6,0.937219274,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-01",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-02",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-03",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-04",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-05",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-06",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-07",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-08",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-09",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-10",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-11",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-12",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-13",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-14",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-15",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-16",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-17",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-18",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-19",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-20",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-21",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-22",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-23",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-24",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-25",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-26",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-27",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-28",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-29",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-30",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-03-31",2009,3,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-01",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-02",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-03",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-04",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-05",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-06",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-07",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-08",2009,5,0.144222042,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-09",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-10",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-11",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-12",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-13",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-14",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-15",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-16",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-17",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-18",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-19",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-20",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-21",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-22",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-23",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-24",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-25",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-26",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-27",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-28",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-29",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-30",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-05-31",2009,5,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-01",2009,11,11.4242623,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-02",2009,11,7.290413437,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-03",2009,11,26.24662933,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-04",2009,11,6.951064207,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-05",2009,11,2.677417145,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-06",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-07",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-08",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-09",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-10",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-11",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-12",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-13",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-14",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-15",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-16",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-17",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-18",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-19",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-20",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-21",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-22",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-23",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-24",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-25",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-26",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-27",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-28",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-29",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-11-30",2009,11,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-01",2009,10,5.138690702,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-02",2009,10,23.05065982,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-03",2009,10,5.106456863,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-04",2009,10,0.664678289,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-05",2009,10,3.722482828,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-06",2009,10,1.42062247,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-07",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-08",2009,10,0.919187756,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-09",2009,10,0.081827221,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-10",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-11",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-12",2009,10,5.767663306,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-13",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-14",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-15",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-16",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-17",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-18",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-19",2009,10,3.082027446,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-20",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-21",2009,10,3.031320179,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-22",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-23",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-24",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-25",2009,10,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-26",2009,10,1.28e-05,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-27",2009,10,0.709583566,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-28",2009,10,5.725358437,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-29",2009,10,17.03087132,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-30",2009,10,10.1058098,"IMD GRID MODEL"
"Maharashtra","Akola","2009-10-31",2009,10,0.168154182,"IMD GRID MODEL"
"Maharashtra","Akola","2009-09-01",2009,9,0.0,"IMD GRID MODEL"
"Maharashtra","Akola","2009-09-02",2009,9,0.008535987,"IMD GRID MODEL"
