"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Punjab","Fazilka","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-12",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-13",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-14",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-19",2009,4,0.852452801,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-21",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-23",2009,4,4.939599023,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-24",2009,4,0.842460255,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-25",2009,4,3.550633582,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-26",2009,4,1.271044386,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-27",2009,4,0.082982805,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-01",2009,8,3.018044079,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-02",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-03",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-04",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-05",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-06",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-07",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-08",2009,8,0.022566295,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-09",2009,8,2.832009387,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-10",2009,8,2.670618289,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-12",2009,8,15.55424472,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-13",2009,8,10.89638504,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-14",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-15",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-16",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-11",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-17",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-18",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-19",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-20",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-21",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-22",2009,8,13.27709415,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-23",2009,8,1.619692481,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-25",2009,8,0.377962083,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-26",2009,8,1.934590213,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-27",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-28",2009,8,13.40018674,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-08-31",2009,8,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-08",2009,12,0.190215511,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-11",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-13",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-14",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-15",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-16",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-02",2009,2,0.067892774,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-14",2009,2,0.504150795,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-15",2009,2,8.823093355,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-16",2009,2,7.497377392,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-17",2009,2,0.912008761,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-02",2009,1,0.067892774,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-14",2009,1,0.504150795,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-15",2009,1,8.823093355,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-16",2009,1,7.497377392,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-17",2009,1,0.912008761,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Punjab","Fazilka","2009-07-01",2009,7,0.0,"IMD GRID MODEL"
