"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Uttar Pradesh","Kanpur Dehat","2009-08-20",2009,8,2.834562461,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-21",2009,8,0.441423078,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-22",2009,8,0.020194666,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-23",2009,8,0.012926172,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-24",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-25",2009,8,0.045242429,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-26",2009,8,2.620679171,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-27",2009,8,0.539909277,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-28",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-29",2009,8,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-30",2009,8,0.220194284,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-08-31",2009,8,0.336054991,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-08",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-09",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-10",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-11",2009,12,0.050160625,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-12",2009,12,0.121675639,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-13",2009,12,2.054782398,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-14",2009,12,0.001579861,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-15",2009,12,2.442499736,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-16",2009,12,0.082704001,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-08",2009,2,0.021708609,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-08",2009,1,0.021708609,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-01",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-02",2009,7,0.893616896,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-03",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-04",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-05",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-06",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-07",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-08",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-09",2009,7,0.001114242,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-10",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-11",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-12",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-13",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-14",2009,7,0.070880267,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-15",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-16",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-17",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-18",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-19",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-20",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-21",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-22",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-23",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-24",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-25",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-26",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-27",2009,7,0.032620312,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-28",2009,7,1.521095171,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-29",2009,7,1.32971007,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-30",2009,7,0.219056076,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-07-31",2009,7,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-02",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-03",2009,6,0.368977927,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-04",2009,6,0.009214435,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-05",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-06",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-01",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-07",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-08",2009,6,0.742410476,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-09",2009,6,0.668994085,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-10",2009,6,0.52692679,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-11",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-12",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-13",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-14",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-15",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-16",2009,6,0.274051903,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-17",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-18",2009,6,0.020003881,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-19",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-20",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-21",2009,6,0.004379695,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-22",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-23",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-24",2009,6,0.033651882,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-25",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-26",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-27",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-28",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-29",2009,6,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-06-30",2009,6,0.459888306,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-01",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-02",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-03",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-04",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-05",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-06",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-07",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-08",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-09",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-10",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-11",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-12",2009,3,2.280443729,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-13",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-14",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-15",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-16",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-17",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-18",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-19",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-20",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-21",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-22",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-23",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-24",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-25",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-26",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-27",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-28",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-29",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-30",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-03-31",2009,3,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-02",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-03",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-01",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-04",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-05",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-06",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-07",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-08",2009,5,0.002835211,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-09",2009,5,0.001114242,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-10",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-11",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-12",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-13",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-15",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-16",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-14",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-17",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-18",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-19",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-20",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-21",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-22",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-23",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-24",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-25",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-26",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-27",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-28",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-29",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-30",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-05-31",2009,5,0.0,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-11-01",2009,11,1.445113736,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-11-02",2009,11,8.494962471,"IMD GRID MODEL"
"Uttar Pradesh","Kanpur Dehat","2009-11-03",2009,11,50.36335275,"IMD GRID MODEL"
