"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Gujarat","Tapi","2009-04-02",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-03",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-04",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-05",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-06",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-07",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-08",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-09",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-10",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-11",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-12",2009,4,0.016637741,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-13",2009,4,0.000882328,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-14",2009,4,0.0586547,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-15",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-16",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-17",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-18",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-19",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-20",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-21",2009,4,0.012593799,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-22",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-23",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-24",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-25",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-26",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-27",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-28",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-29",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-04-30",2009,4,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-01",2009,8,2.598238585,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-02",2009,8,11.03508622,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-03",2009,8,83.97786466,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-04",2009,8,11.41872371,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-05",2009,8,25.59584147,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-06",2009,8,31.77357818,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-07",2009,8,4.057562719,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-08",2009,8,14.94289407,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-09",2009,8,3.394349441,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-10",2009,8,5.884769049,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-11",2009,8,19.44182195,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-12",2009,8,19.85255914,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-13",2009,8,2.847140207,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-14",2009,8,20.99512803,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-15",2009,8,46.1329744,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-16",2009,8,19.27335183,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-17",2009,8,35.97394794,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-18",2009,8,12.86338528,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-19",2009,8,41.49600729,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-20",2009,8,37.76968045,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-21",2009,8,48.56864178,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-22",2009,8,19.18110182,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-23",2009,8,55.24726589,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-24",2009,8,8.305592549,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-25",2009,8,8.465136249,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-26",2009,8,9.17362846,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-27",2009,8,1.590198313,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-28",2009,8,0.035350713,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-29",2009,8,0.056704327,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-30",2009,8,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-08-31",2009,8,1.78176125,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-01",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-02",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-03",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-04",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-05",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-06",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-07",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-08",2009,12,0.25749191,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-09",2009,12,1.176784287,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-10",2009,12,7.515635074,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-11",2009,12,29.63513006,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-12",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-13",2009,12,3.40164429,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-14",2009,12,0.134360089,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-15",2009,12,7.984377014,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-16",2009,12,0.054165805,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-17",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-18",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-19",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-20",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-21",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-22",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-23",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-24",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-25",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-26",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-27",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-28",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-29",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-30",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-12-31",2009,12,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-01",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-02",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-03",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-04",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-05",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-06",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-07",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-08",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-09",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-10",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-11",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-12",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-13",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-14",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-15",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-16",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-17",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-18",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-19",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-20",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-21",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-22",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-23",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-24",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-25",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-26",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-27",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-02-28",2009,2,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-01",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-02",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-03",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-04",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-05",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-06",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-07",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-08",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-09",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-10",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-11",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-12",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-13",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-14",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-15",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-16",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-17",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-18",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-19",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-20",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-21",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-22",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-23",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-24",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-25",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-26",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-27",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-28",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-29",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-30",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-01-31",2009,1,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-01",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-02",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-03",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-04",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-05",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-06",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-07",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-08",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-09",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-10",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-11",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-12",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-13",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-14",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-15",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-16",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-17",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-18",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-19",2009,7,1.352002023,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-20",2009,7,4.028648582,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-21",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-22",2009,7,4.234745298,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-23",2009,7,3.812646144,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-24",2009,7,0.02294256,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-25",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-26",2009,7,1.819343693,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-27",2009,7,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-28",2009,7,0.497352778,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-29",2009,7,2.050827974,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-30",2009,7,1.171865955,"IMD GRID MODEL"
"Gujarat","Tapi","2009-07-31",2009,7,0.514452602,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-01",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-02",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-03",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-04",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-05",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-06",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-07",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-08",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-09",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-10",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-11",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-12",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-13",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-14",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-15",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-16",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-17",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-18",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-19",2009,6,0.006080106,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-20",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-21",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-22",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-23",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-24",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-25",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-26",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-27",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-28",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-29",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-06-30",2009,6,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-01",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-02",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-03",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-04",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-05",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-06",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-07",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-08",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-09",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-10",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-11",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-12",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-13",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-14",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-15",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-16",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-17",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-19",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-18",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-20",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-21",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-22",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-23",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-24",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-25",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-26",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-27",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-28",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-29",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-30",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-03-31",2009,3,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-01",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-02",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-03",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-04",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-05",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-06",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-07",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-08",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-09",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-10",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-11",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-12",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-13",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-14",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-15",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-16",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-17",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-18",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-19",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-20",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-21",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-22",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-23",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-24",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-26",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-27",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-25",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-28",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-29",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-30",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-05-31",2009,5,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-01",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-02",2009,11,12.61011374,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-03",2009,11,30.12567748,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-04",2009,11,23.5901557,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-05",2009,11,1.498078164,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-06",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-07",2009,11,0.215945611,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-08",2009,11,0.063004809,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-09",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-10",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-11",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-12",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-13",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-14",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-15",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-16",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-17",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-18",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-19",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-20",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-21",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-22",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-23",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-25",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-24",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-26",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-27",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-28",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-29",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-11-30",2009,11,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-01",2009,10,0.177093815,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-02",2009,10,16.49223894,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-03",2009,10,35.60131405,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-04",2009,10,49.8246553,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-05",2009,10,40.41349713,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-06",2009,10,18.25122897,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-07",2009,10,11.78356927,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-08",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-09",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-10",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-11",2009,10,0.000775885,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-12",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-13",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-14",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-15",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-16",2009,10,0.141361685,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-17",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-18",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-19",2009,10,0.349262136,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-20",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-21",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-22",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-23",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-24",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-25",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-26",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-27",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-28",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-29",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-30",2009,10,2.683750449,"IMD GRID MODEL"
"Gujarat","Tapi","2009-10-31",2009,10,0.0,"IMD GRID MODEL"
"Gujarat","Tapi","2009-09-01",2009,9,3.931044014,"IMD GRID MODEL"
"Gujarat","Tapi","2009-09-02",2009,9,1.051618166,"IMD GRID MODEL"
"Gujarat","Tapi","2009-09-03",2009,9,0.082636386,"IMD GRID MODEL"
