State,Date,Month,Year,Average
Telangana,2009-01-01,1,2009,0.00012627975757575758
Telangana,2009-01-02,1,2009,0.0
Telangana,2009-01-03,1,2009,0.0
Telangana,2009-01-04,1,2009,0.0
Telangana,2009-01-05,1,2009,0.0
Telangana,2009-01-06,1,2009,0.0
Telangana,2009-01-07,1,2009,0.013590644081818181
Telangana,2009-01-08,1,2009,0.0
Telangana,2009-01-09,1,2009,0.0
Telangana,2009-01-10,1,2009,0.0
Telangana,2009-01-11,1,2009,0.0
Telangana,2009-01-12,1,2009,0.0
Telangana,2009-01-13,1,2009,0.0
Telangana,2009-01-14,1,2009,0.0
Telangana,2009-01-15,1,2009,0.0
Telangana,2009-01-16,1,2009,0.0
Telangana,2009-01-17,1,2009,0.0
Telangana,2009-01-18,1,2009,0.0
Telangana,2009-01-19,1,2009,0.0
Telangana,2009-01-20,1,2009,0.0
Telangana,2009-01-21,1,2009,0.0
Telangana,2009-01-22,1,2009,0.0
Telangana,2009-01-23,1,2009,0.0
Telangana,2009-01-24,1,2009,0.0
Telangana,2009-01-25,1,2009,0.0
Telangana,2009-01-26,1,2009,0.0
Telangana,2009-01-27,1,2009,0.0
Telangana,2009-01-28,1,2009,0.0
Telangana,2009-01-29,1,2009,0.0
Telangana,2009-01-30,1,2009,0.0
Telangana,2009-01-31,1,2009,0.0
Telangana,2009-02-01,2,2009,0.00012627975757575758
Telangana,2009-02-02,2,2009,0.0
Telangana,2009-02-03,2,2009,0.0
Telangana,2009-02-04,2,2009,0.0
Telangana,2009-02-05,2,2009,0.0
Telangana,2009-02-06,2,2009,0.0
Telangana,2009-02-07,2,2009,0.01359064287878788
Telangana,2009-02-08,2,2009,0.0
Telangana,2009-02-09,2,2009,0.0
Telangana,2009-02-10,2,2009,0.0
Telangana,2009-02-11,2,2009,0.0
Telangana,2009-02-12,2,2009,0.0
Telangana,2009-02-13,2,2009,0.0
Telangana,2009-02-14,2,2009,0.0
Telangana,2009-02-15,2,2009,0.0
Telangana,2009-02-16,2,2009,0.0
Telangana,2009-02-17,2,2009,0.0
Telangana,2009-02-18,2,2009,0.0
Telangana,2009-02-19,2,2009,0.0
Telangana,2009-02-20,2,2009,0.0
Telangana,2009-02-21,2,2009,0.0
Telangana,2009-02-22,2,2009,0.0
Telangana,2009-02-23,2,2009,0.0
Telangana,2009-02-24,2,2009,0.0
Telangana,2009-02-25,2,2009,0.0
Telangana,2009-02-26,2,2009,0.0
Telangana,2009-02-27,2,2009,0.0
Telangana,2009-02-28,2,2009,0.0
Telangana,2009-03-01,3,2009,0.0
Telangana,2009-03-02,3,2009,0.0
Telangana,2009-03-03,3,2009,0.0
Telangana,2009-03-04,3,2009,0.0
Telangana,2009-03-05,3,2009,0.0
Telangana,2009-03-06,3,2009,0.0
Telangana,2009-03-07,3,2009,0.0
Telangana,2009-03-08,3,2009,0.0
Telangana,2009-03-09,3,2009,0.0
Telangana,2009-03-10,3,2009,0.0
Telangana,2009-03-11,3,2009,0.0
Telangana,2009-03-12,3,2009,0.0
Telangana,2009-03-13,3,2009,0.0
Telangana,2009-03-14,3,2009,0.0
Telangana,2009-03-15,3,2009,0.0
Telangana,2009-03-16,3,2009,0.0
Telangana,2009-03-17,3,2009,0.0
Telangana,2009-03-18,3,2009,0.0
Telangana,2009-03-19,3,2009,0.0
Telangana,2009-03-20,3,2009,0.0
Telangana,2009-03-21,3,2009,0.0
Telangana,2009-03-22,3,2009,0.0
Telangana,2009-03-23,3,2009,0.0
Telangana,2009-03-24,3,2009,0.0
Telangana,2009-03-25,3,2009,0.0
Telangana,2009-03-26,3,2009,0.0
Telangana,2009-03-27,3,2009,0.0
Telangana,2009-03-28,3,2009,0.0
